ID_URBS,NUMERO_LINHA,DESC_LINHA,URL_URBS,URL_GAZETA,URL_MOOVIT
2027,706,CAIUA/FAZ/CENTRO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/706,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-fazendinha-centro-706/,
1430,706,CAIUA/FAZ/CENTRO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/706,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-fazendinha-centro-706/,
2127,706,CAIUA/FAZ/CENTRO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/706,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-fazendinha-centro-706/,
91,386,CAJURU,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/386,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cajuru-386/,
270,322,CAMARGO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/322,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/camargo-322/,
299,801,CAMP. SIQUEIRA / BATEL,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/801,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campina-do-siqueira-batel-801/,
1230,816,CAMP. SIQUEIRA / STA.FELICIDADE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/816,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campina-do-siqueira-santa-felicidade-816/,
2131,816,CAMP. SIQUEIRA / STA.FELICIDADE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/816,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campina-do-siqueira-santa-felicidade-816/,
2031,816,CAMP. SIQUEIRA / STA.FELICIDADE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/816,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campina-do-siqueira-santa-felicidade-816/,
27,654,CAMPO ALEGRE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/654,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campo-alegre-654/,
